time Fx qx
0.000000000000000000e+00 0.000000000000000000e+00 3.412999999996557676e-05
5.000000000000000104e-03 1.055856363999999915e-02 3.412999999996557676e-05
1.000000000000000021e-02 1.073625194999999928e-02 3.412999999996557676e-05
1.499999999999999944e-02 9.182889519999999292e-03 3.412999999996557676e-05
2.000000000000000042e-02 8.496868600000000507e-03 3.412999999996557676e-05
2.500000000000000139e-02 7.068430450000000483e-03 3.412999999996557676e-05
2.999999999999999889e-02 6.707134449999999949e-03 3.412999999996557676e-05
3.500000000000000333e-02 6.272670849999999361e-03 3.312999999996457667e-05
4.000000000000000083e-02 6.171532030000000286e-03 3.312999999996457667e-05
4.499999999999999833e-02 5.072479520000000054e-03 3.312999999996457667e-05
5.000000000000000278e-02 5.334353730000000564e-03 3.312999999996457667e-05
5.500000000000000028e-02 5.241901519999999856e-03 3.312999999996457667e-05
5.999999999999999778e-02 5.147400679999999777e-03 3.212999999996357658e-05
6.500000000000000222e-02 5.111737710000000511e-03 3.212999999996357658e-05
7.000000000000000666e-02 5.125062789999999986e-03 3.212999999996357658e-05
7.499999999999999722e-02 5.195232369999999537e-03 3.112999999996257650e-05
8.000000000000000167e-02 5.445274949999999621e-03 3.112999999996257650e-05
8.500000000000000611e-02 5.719113330000000044e-03 3.112999999996257650e-05
8.999999999999999667e-02 5.975991209999999970e-03 3.012999999996157641e-05
9.500000000000000111e-02 6.285752600000000558e-03 3.012999999996157641e-05
1.000000000000000056e-01 6.443528980000000003e-03 2.912999999996057632e-05
1.049999999999999961e-01 6.553629172000000232e-03 2.912999999996057632e-05
1.100000000000000006e-01 6.660820629999999673e-03 2.812999999998733180e-05
1.150000000000000050e-01 6.690215079999999905e-03 2.812999999998733180e-05
1.199999999999999956e-01 7.077493320000000261e-03 2.712999999998633172e-05
1.250000000000000000e-01 7.014574459999999879e-03 2.712999999998633172e-05
1.300000000000000044e-01 7.230012800000000343e-03 2.612999999998533163e-05
1.350000000000000089e-01 7.291388289999999918e-03 2.612999999998533163e-05
1.400000000000000133e-01 7.719301490000000238e-03 2.512999999998433154e-05
1.449999999999999900e-01 8.020262929999999110e-03 2.512999999998433154e-05
1.499999999999999944e-01 8.196722720000000628e-03 2.412999999998333145e-05
1.549999999999999989e-01 8.251622830000001144e-03 2.312999999998233136e-05
1.600000000000000033e-01 8.285130109999998618e-03 2.312999999998233136e-05
1.650000000000000078e-01 8.268432920000000699e-03 2.212999999998133127e-05
1.700000000000000122e-01 8.239445360000000051e-03 2.112999999998033118e-05
1.749999999999999889e-01 8.217407710000000989e-03 2.012999999997933109e-05
1.799999999999999933e-01 8.186662960000000433e-03 2.012999999997933109e-05
1.849999999999999978e-01 8.100049690000001371e-03 1.912999999997833100e-05
1.900000000000000022e-01 8.007686079999999651e-03 1.812999999997733092e-05
1.950000000000000067e-01 7.883265599999999748e-03 1.712999999997633083e-05
2.000000000000000111e-01 7.722976510000000017e-03 1.612999999997533074e-05
2.049999999999999878e-01 7.530930380000000132e-03 1.512999999997433065e-05
2.099999999999999922e-01 7.381987900000000317e-03 1.512999999997433065e-05
2.149999999999999967e-01 7.218857999999999872e-03 1.412999999997333056e-05
2.200000000000000011e-01 7.046683900000000507e-03 1.312999999997233047e-05
2.250000000000000056e-01 6.880087100000000476e-03 1.212999999997133038e-05
2.300000000000000100e-01 6.687478799999999578e-03 1.112999999997033029e-05
2.349999999999999867e-01 6.505999699999999962e-03 1.012999999996933020e-05
2.399999999999999911e-01 6.362478799999999809e-03 9.129999999968330116e-06
2.449999999999999956e-01 6.124288999999999775e-03 8.129999999967330027e-06
2.500000000000000000e-01 5.931232600000000028e-03 6.129999999965329849e-06
