time Fx qx
0.000000000000000000e+00 1.776357000000000083e-15 8.326672684688674053e-17
5.000000000000000104e-03 -4.457465300000000076e-04 8.326672684688674053e-17
1.000000000000000021e-02 1.240277643999999945e-03 8.326672684688674053e-17
1.499999999999999944e-02 -1.253422899999999867e-05 8.326672684688674053e-17
2.000000000000000042e-02 -3.490658779999999809e-04 8.326672684688674053e-17
2.500000000000000139e-02 -6.358110629999999801e-04 8.326672684688674053e-17
2.999999999999999889e-02 4.876516270000000124e-04 8.326672684688674053e-17
3.500000000000000333e-02 9.767665449999999965e-04 8.326672684688674053e-17
4.000000000000000083e-02 9.773476130000000907e-04 8.326672684688674053e-17
4.499999999999999833e-02 8.856659450000000169e-04 8.326672684688674053e-17
5.000000000000000278e-02 -1.472821679999999965e-04 8.326672684688674053e-17
5.500000000000000028e-02 7.274231999999999779e-05 8.326672684688674053e-17
5.999999999999999778e-02 -4.115800339999999588e-04 8.326672684688674053e-17
6.500000000000000222e-02 9.568369300000000499e-04 8.326672684688674053e-17
7.000000000000000666e-02 4.108971759999999673e-04 8.326672684688674053e-17
7.499999999999999722e-02 -1.431765251000000072e-03 8.326672684688674053e-17
8.000000000000000167e-02 3.323813399999999709e-04 8.326672684688674053e-17
8.500000000000000611e-02 4.865584600000000043e-04 8.326672684688674053e-17
8.999999999999999667e-02 1.320961599999999879e-04 8.326672684688674053e-17
9.500000000000000111e-02 -1.359198590000000074e-04 8.326672684688674053e-17
1.000000000000000056e-01 -6.162023510000000544e-04 8.326672684688674053e-17
1.049999999999999961e-01 -1.476369619999999853e-04 8.326672684688674053e-17
1.100000000000000006e-01 2.669748999999999907e-04 8.326672684688674053e-17
1.150000000000000050e-01 8.449745499999999888e-05 8.326672684688674053e-17
1.199999999999999956e-01 -8.612379099999999902e-05 8.326672684688674053e-17
1.250000000000000000e-01 -1.644296040000000063e-04 8.326672684688674053e-17
1.300000000000000044e-01 -1.661956860000000002e-04 8.326672684688674053e-17
1.350000000000000089e-01 -5.659982720000000355e-05 8.326672684688674053e-17
1.400000000000000133e-01 1.029614030000000082e-04 8.326672684688674053e-17
1.449999999999999900e-01 1.426591919999999959e-04 8.326672684688674053e-17
1.499999999999999944e-01 7.119321599999999840e-05 8.326672684688674053e-17
1.549999999999999989e-01 -1.309610834000000089e-04 8.326672684688674053e-17
1.600000000000000033e-01 -9.205877000000000493e-05 8.326672684688674053e-17
1.650000000000000078e-01 3.758477600000000073e-04 8.326672684688674053e-17
1.700000000000000122e-01 4.923056199999999724e-04 8.326672684688674053e-17
1.749999999999999889e-01 -4.172948650000000330e-04 8.326672684688674053e-17
1.799999999999999933e-01 -1.374249800000000186e-04 8.326672684688674053e-17
1.849999999999999978e-01 -6.158506310000000069e-04 8.326672684688674053e-17
1.900000000000000022e-01 -9.222415900000000498e-05 8.326672684688674053e-17
1.950000000000000067e-01 4.008416659999999745e-04 8.326672684688674053e-17
2.000000000000000111e-01 4.953109740000000106e-04 8.326672684688674053e-17
2.049999999999999878e-01 2.968541264999999697e-04 8.326672684688674053e-17
2.099999999999999922e-01 3.623995319999999995e-05 8.326672684688674053e-17
2.149999999999999967e-01 -1.873757586000000244e-04 8.326672684688674053e-17
2.200000000000000011e-01 -8.961378521000000182e-04 8.326672684688674053e-17
2.250000000000000056e-01 -4.971893019999999719e-04 8.326672684688674053e-17
2.300000000000000100e-01 1.341398897300000084e-03 8.326672684688674053e-17
2.349999999999999867e-01 -3.145347377900000081e-03 8.326672684688674053e-17
2.399999999999999911e-01 -1.941521909000000143e-03 8.326672684688674053e-17
2.449999999999999956e-01 -1.154608783500000015e-03 8.326672684688674053e-17
2.500000000000000000e-01 1.706334282800000103e-03 8.326672684688674053e-17
2.550000000000000044e-01 6.141327096999999206e-04 8.326672684688674053e-17
2.600000000000000089e-01 3.800175592000000165e-04 8.326672684688674053e-17
2.650000000000000133e-01 -2.775546083999999819e-04 8.326672684688674053e-17
2.700000000000000178e-01 -1.577812034999999857e-04 8.326672684688674053e-17
2.750000000000000222e-01 -9.661457630000001092e-05 8.326672684688674053e-17
2.800000000000000266e-01 2.859712002999999851e-05 8.326672684688674053e-17
2.849999999999999756e-01 -6.863624400000000231e-06 8.326672684688674053e-17
2.899999999999999800e-01 1.201697710000000067e-05 8.326672684688674053e-17
2.949999999999999845e-01 1.232370480000000074e-05 8.326672684688674053e-17
2.999999999999999889e-01 -2.691432050000000021e-05 8.326672684688674053e-17
3.049999999999999933e-01 4.799350499999999409e-05 8.326672684688674053e-17
3.099999999999999978e-01 6.934967099999999334e-06 8.326672684688674053e-17
3.150000000000000022e-01 -2.300314179999999836e-05 8.326672684688674053e-17
3.200000000000000067e-01 -2.033431400000000109e-05 8.326672684688674053e-17
3.250000000000000111e-01 1.620985399999999959e-05 8.326672684688674053e-17
3.300000000000000155e-01 3.486259530000000175e-05 8.326672684688674053e-17
3.350000000000000200e-01 3.209661599999999736e-05 8.326672684688674053e-17
3.400000000000000244e-01 1.800262000000000078e-05 8.326672684688674053e-17
3.449999999999999734e-01 -8.186672399999999901e-05 8.326672684688674053e-17
3.499999999999999778e-01 4.911520000000000030e-06 8.326672684688674053e-17
3.549999999999999822e-01 9.265099199999999582e-05 8.326672684688674053e-17
3.599999999999999867e-01 -6.474518879999999806e-05 8.326672684688674053e-17
3.649999999999999911e-01 -5.377547800000000020e-05 8.326672684688674053e-17
3.699999999999999956e-01 -1.376886000000000017e-05 8.326672684688674053e-17
3.750000000000000000e-01 3.095963000000000295e-05 8.326672684688674053e-17
3.800000000000000044e-01 7.164955599999999207e-05 8.326672684688674053e-17
3.850000000000000089e-01 6.902043099999999884e-05 8.326672684688674053e-17
3.900000000000000133e-01 4.024627999999999984e-05 8.326672684688674053e-17
3.950000000000000178e-01 -4.452899983000000372e-04 8.326672684688674053e-17
4.000000000000000222e-01 -1.306906790299999907e-04 8.326672684688674053e-17
4.050000000000000266e-01 -1.315444939999999908e-04 8.326672684688674053e-17
4.099999999999999756e-01 -3.331529799999999715e-05 8.326672684688674053e-17
4.149999999999999800e-01 4.853042000000000011e-05 8.326672684688674053e-17
4.199999999999999845e-01 -2.800769345000000184e-03 8.326672684688674053e-17
4.249999999999999889e-01 -4.558498040000000186e-04 8.326672684688674053e-17
4.299999999999999933e-01 3.415501769999999783e-04 8.326672684688674053e-17
4.349999999999999978e-01 -3.802996306999999968e-03 8.326672684688674053e-17
4.400000000000000022e-01 -7.599332945999999998e-03 8.326672684688674053e-17
4.450000000000000067e-01 4.856057982699999928e-03 8.326672684688674053e-17
4.500000000000000111e-01 -2.808022852999999923e-03 8.326672684688674053e-17
4.550000000000000155e-01 1.217031736400000152e-03 8.326672684688674053e-17
4.600000000000000200e-01 6.349664935000000256e-04 8.326672684688674053e-17
4.650000000000000244e-01 -9.264434178300000843e-04 8.326672684688674053e-17
4.699999999999999734e-01 -6.106253278999999607e-04 8.326672684688674053e-17
4.749999999999999778e-01 -2.103871973000000174e-04 8.326672684688674053e-17
4.799999999999999822e-01 3.850628899970000144e-04 8.326672684688674053e-17
4.849999999999999867e-01 -7.887387540000000054e-04 8.326672684688674053e-17
4.899999999999999911e-01 -4.567170465200000220e-04 8.326672684688674053e-17
