time Fx qx
0.000000000000000000e+00 -4.440891999999999804e-16 8.326672684688674053e-17
5.000000000000000104e-03 -4.419723619999999930e-05 8.326672684688674053e-17
1.000000000000000021e-02 3.623758224000000008e-05 8.326672684688674053e-17
1.499999999999999944e-02 3.710842265599999679e-04 8.326672684688674053e-17
2.000000000000000042e-02 -2.133818115999999970e-04 8.326672684688674053e-17
2.500000000000000139e-02 -1.892679953999999904e-04 8.326672684688674053e-17
2.999999999999999889e-02 -3.201154982999999976e-04 8.326672684688674053e-17
3.500000000000000333e-02 -1.237209504700000073e-03 8.326672684688674053e-17
4.000000000000000083e-02 4.871277173999999876e-04 8.326672684688674053e-17
4.499999999999999833e-02 3.584685219999999986e-04 8.326672684688674053e-17
5.000000000000000278e-02 -1.733474522300000164e-03 8.326672684688674053e-17
5.500000000000000028e-02 4.869426023999999737e-04 8.326672684688674053e-17
5.999999999999999778e-02 2.207087000000000033e-05 8.326672684688674053e-17
6.500000000000000222e-02 1.634636467999999831e-04 8.326672684688674053e-17
7.000000000000000666e-02 -1.947970050000000057e-04 8.326672684688674053e-17
7.499999999999999722e-02 -9.632300180000000146e-05 8.326672684688674053e-17
8.000000000000000167e-02 -9.902532499999999705e-05 8.326672684688674053e-17
8.500000000000000611e-02 3.740913765999999982e-04 8.326672684688674053e-17
8.999999999999999667e-02 2.118580570000000061e-04 8.326672684688674053e-17
9.500000000000000111e-02 7.913068660000000931e-05 8.326672684688674053e-17
1.000000000000000056e-01 9.416435702999999431e-05 8.326672684688674053e-17
1.049999999999999961e-01 7.310715170000000424e-05 8.326672684688674053e-17
1.100000000000000006e-01 6.491836799999999746e-05 8.326672684688674053e-17
1.150000000000000050e-01 3.749943753000000292e-04 8.326672684688674053e-17
1.199999999999999956e-01 -6.763355359999999674e-05 8.326672684688674053e-17
1.250000000000000000e-01 -6.009508300000000015e-05 8.326672684688674053e-17
1.300000000000000044e-01 6.922211710000000741e-05 8.326672684688674053e-17
1.350000000000000089e-01 6.326406110000000124e-05 8.326672684688674053e-17
1.400000000000000133e-01 6.228431409999999919e-05 8.326672684688674053e-17
1.449999999999999900e-01 -9.077092254999999995e-04 8.326672684688674053e-17
1.499999999999999944e-01 4.370270560000000086e-05 8.326672684688674053e-17
1.549999999999999989e-01 2.745305400000000063e-05 8.326672684688674053e-17
1.600000000000000033e-01 1.737924600000000040e-05 8.326672684688674053e-17
1.650000000000000078e-01 5.494155000000000085e-06 8.326672684688674053e-17
1.700000000000000122e-01 -6.057812099999999937e-05 8.326672684688674053e-17
1.749999999999999889e-01 -6.838424599999999911e-06 8.326672684688674053e-17
1.799999999999999933e-01 -4.661278290000000395e-05 8.326672684688674053e-17
1.849999999999999978e-01 1.334718609999999985e-05 8.326672684688674053e-17
1.900000000000000022e-01 1.737023199999999934e-05 8.326672684688674053e-17
1.950000000000000067e-01 2.391852900000000079e-05 8.326672684688674053e-17
2.000000000000000111e-01 3.536149152999999972e-04 8.326672684688674053e-17
2.049999999999999878e-01 -2.190732628999999957e-04 8.326672684688674053e-17
2.099999999999999922e-01 6.868067721999999986e-04 8.326672684688674053e-17
2.149999999999999967e-01 -1.539861006999999871e-04 8.326672684688674053e-17
2.200000000000000011e-01 -1.783506910000000020e-04 8.326672684688674053e-17
2.250000000000000056e-01 4.432307319999999719e-04 8.326672684688674053e-17
2.300000000000000100e-01 2.628611959999999718e-05 8.326672684688674053e-17
2.349999999999999867e-01 1.237062069999999905e-05 8.326672684688674053e-17
2.399999999999999911e-01 -4.565634999999999868e-06 8.326672684688674053e-17
2.449999999999999956e-01 -1.084547899999999896e-05 8.326672684688674053e-17
2.500000000000000000e-01 -2.788065800000000068e-06 8.326672684688674053e-17
2.550000000000000044e-01 -2.273331999999999938e-06 8.326672684688674053e-17
2.600000000000000089e-01 -7.192220000000000064e-06 8.326672684688674053e-17
