time Fx qx
0.000000000000000000e+00 8.881783999999999608e-16 8.326672684688674053e-17
5.000000000000000104e-03 -7.167217800000000793e-05 8.326672684688674053e-17
1.000000000000000021e-02 -4.266227000000000447e-05 8.326672684688674053e-17
1.499999999999999944e-02 -1.460738150000000051e-04 8.326672684688674053e-17
2.000000000000000042e-02 -1.767086440000000154e-03 8.326672684688674053e-17
2.500000000000000139e-02 5.247409949999999211e-04 8.326672684688674053e-17
2.999999999999999889e-02 -1.213593000000000088e-04 8.326672684688674053e-17
3.500000000000000333e-02 -2.948444000000000260e-04 8.326672684688674053e-17
4.000000000000000083e-02 6.534494799999999634e-05 8.326672684688674053e-17
4.499999999999999833e-02 4.924960000000000023e-06 8.326672684688674053e-17
5.000000000000000278e-02 -1.567858999999999857e-05 8.326672684688674053e-17
5.500000000000000028e-02 -2.714101999999999785e-05 8.326672684688674053e-17
5.999999999999999778e-02 -4.786380000000000750e-06 8.326672684688674053e-17
6.500000000000000222e-02 4.500413600000000350e-05 8.326672684688674053e-17
7.000000000000000666e-02 5.426989099999999556e-05 8.326672684688674053e-17
7.499999999999999722e-02 3.034006999999999563e-05 8.326672684688674053e-17
8.000000000000000167e-02 -6.649111000000000517e-06 8.326672684688674053e-17
8.500000000000000611e-02 -4.629107800000000118e-05 8.326672684688674053e-17
8.999999999999999667e-02 -4.562879300000000012e-05 8.326672684688674053e-17
9.500000000000000111e-02 9.574679999999996901e-07 8.326672684688674053e-17
1.000000000000000056e-01 3.309763099999999780e-05 8.326672684688674053e-17
1.049999999999999961e-01 4.227895200000000164e-05 8.326672684688674053e-17
1.100000000000000006e-01 3.372303999999999824e-05 8.326672684688674053e-17
1.150000000000000050e-01 1.589045199999999841e-05 8.326672684688674053e-17
1.199999999999999956e-01 -8.007561499999999040e-06 8.326672684688674053e-17
1.250000000000000000e-01 -4.355391599999999861e-06 8.326672684688674053e-17
1.300000000000000044e-01 -1.632545200000000017e-05 8.326672684688674053e-17
1.350000000000000089e-01 -1.443739499999999969e-05 8.326672684688674053e-17
1.400000000000000133e-01 -2.084830000000000332e-06 8.326672684688674053e-17
1.449999999999999900e-01 3.772001999999999262e-06 8.326672684688674053e-17
1.499999999999999944e-01 5.008339599999999796e-05 8.326672684688674053e-17
1.549999999999999989e-01 -3.218825399999999809e-06 8.326672684688674053e-17
1.600000000000000033e-01 -3.035019899999999676e-05 8.326672684688674053e-17
1.650000000000000078e-01 2.881880200000000143e-05 8.326672684688674053e-17
1.700000000000000122e-01 1.346363800000000162e-05 8.326672684688674053e-17
1.749999999999999889e-01 -1.640122800000000139e-05 8.326672684688674053e-17
1.799999999999999933e-01 -2.667430000000000480e-06 8.326672684688674053e-17
1.849999999999999978e-01 -3.299156999999999557e-06 8.326672684688674053e-17
1.900000000000000022e-01 1.766948900000000073e-05 8.326672684688674053e-17
1.950000000000000067e-01 1.459933940000000076e-05 8.326672684688674053e-17
2.000000000000000111e-01 7.236768900000000162e-06 8.326672684688674053e-17
2.049999999999999878e-01 -1.007140680000000078e-05 8.326672684688674053e-17
2.099999999999999922e-01 -1.324825299999999962e-05 8.326672684688674053e-17
2.149999999999999967e-01 -9.592992999999998635e-06 8.326672684688674053e-17
2.200000000000000011e-01 -1.158597000000000352e-06 8.326672684688674053e-17
2.250000000000000056e-01 8.275142999999999047e-06 8.326672684688674053e-17
2.300000000000000100e-01 1.098183499999999952e-05 8.326672684688674053e-17
2.349999999999999867e-01 1.051402099999999872e-05 8.326672684688674053e-17
2.399999999999999911e-01 3.119898200000000225e-06 8.326672684688674053e-17
2.449999999999999956e-01 3.622100210000000142e-06 8.326672684688674053e-17
2.500000000000000000e-01 -3.618305279999999825e-06 8.326672684688674053e-17
2.550000000000000044e-01 -2.725188000000000275e-06 8.326672684688674053e-17
2.600000000000000089e-01 -4.761137000000000423e-06 8.326672684688674053e-17
2.650000000000000133e-01 -1.120680000000001271e-07 8.326672684688674053e-17
2.700000000000000178e-01 3.896105000000000198e-06 8.326672684688674053e-17
2.750000000000000222e-01 2.762854100000000202e-06 8.326672684688674053e-17
2.800000000000000266e-01 -2.364949699999999876e-06 8.326672684688674053e-17
2.849999999999999756e-01 -2.571931899999999986e-06 8.326672684688674053e-17
2.899999999999999800e-01 -5.518183999999999512e-06 8.326672684688674053e-17
2.949999999999999845e-01 -1.534288000000000378e-06 8.326672684688674053e-17
2.999999999999999889e-01 3.622586199999999756e-06 8.326672684688674053e-17
3.049999999999999933e-01 8.250106000000000594e-06 8.326672684688674053e-17
3.099999999999999978e-01 1.209287600000000006e-05 8.326672684688674053e-17
3.150000000000000022e-01 5.684248699999999772e-06 8.326672684688674053e-17
3.200000000000000067e-01 5.426409999999984863e-08 8.326672684688674053e-17
3.250000000000000111e-01 3.208875000000000257e-06 8.326672684688674053e-17
3.300000000000000155e-01 -7.387338300000000001e-06 8.326672684688674053e-17
3.350000000000000200e-01 1.640337999999999981e-06 8.326672684688674053e-17
3.400000000000000244e-01 -5.775353999999999796e-06 8.326672684688674053e-17
3.449999999999999734e-01 2.375450799999999784e-06 8.326672684688674053e-17
3.499999999999999778e-01 3.820759000000000259e-06 8.326672684688674053e-17
3.549999999999999822e-01 8.652595000000000460e-06 8.326672684688674053e-17
3.599999999999999867e-01 9.459930999999998790e-06 8.326672684688674053e-17
3.649999999999999911e-01 7.174614299999999664e-06 8.326672684688674053e-17
3.699999999999999956e-01 1.973945400000000218e-06 8.326672684688674053e-17
3.750000000000000000e-01 6.944044999999999895e-07 8.326672684688674053e-17
3.800000000000000044e-01 -3.535613999999999620e-06 8.326672684688674053e-17
3.850000000000000089e-01 -2.252818099999999856e-06 8.326672684688674053e-17
3.900000000000000133e-01 -6.464955299999999993e-06 8.326672684688674053e-17
3.950000000000000178e-01 -4.423141999999999943e-06 8.326672684688674053e-17
4.000000000000000222e-01 -4.128229999999999267e-06 8.326672684688674053e-17
4.050000000000000266e-01 3.592281000000000005e-06 8.326672684688674053e-17
4.099999999999999756e-01 5.292261000000000117e-06 8.326672684688674053e-17
4.149999999999999800e-01 7.837387299999999798e-06 8.326672684688674053e-17
4.199999999999999845e-01 3.557393600000000102e-06 8.326672684688674053e-17
4.249999999999999889e-01 -7.942610999999999864e-07 8.326672684688674053e-17
4.299999999999999933e-01 -1.066118999999999982e-05 8.326672684688674053e-17
4.349999999999999978e-01 -1.243520010999999888e-05 8.326672684688674053e-17
4.400000000000000022e-01 5.896739000000000244e-07 8.326672684688674053e-17
4.450000000000000067e-01 3.010387000000000287e-06 8.326672684688674053e-17
4.500000000000000111e-01 3.737733000000000082e-06 8.326672684688674053e-17
