time Fx qx
0.000000000000000000e+00 -1.776357000000000083e-15 8.326672684688674053e-17
5.000000000000000104e-03 -1.068550599999999933e-05 8.326672684688674053e-17
1.000000000000000021e-02 -1.380565010899999998e-05 8.326672684688674053e-17
1.499999999999999944e-02 9.795114299999999562e-05 8.326672684688674053e-17
2.000000000000000042e-02 -8.060051930000000338e-04 8.326672684688674053e-17
2.500000000000000139e-02 -9.193449459999999864e-05 8.326672684688674053e-17
2.999999999999999889e-02 -1.020211279999999946e-04 8.326672684688674053e-17
3.500000000000000333e-02 3.794734529999999962e-04 8.326672684688674053e-17
4.000000000000000083e-02 -6.299303729999999272e-04 8.326672684688674053e-17
4.499999999999999833e-02 4.679548729999999531e-04 8.326672684688674053e-17
5.000000000000000278e-02 3.679198030000000157e-04 8.326672684688674053e-17
5.500000000000000028e-02 -1.093583481600000082e-03 8.326672684688674053e-17
5.999999999999999778e-02 1.669925763500000040e-03 8.326672684688674053e-17
6.500000000000000222e-02 1.427598020999999891e-03 8.326672684688674053e-17
7.000000000000000666e-02 7.150243960000000204e-04 8.326672684688674053e-17
7.499999999999999722e-02 -2.413410579000000128e-04 8.326672684688674053e-17
8.000000000000000167e-02 3.830704590000000125e-04 8.326672684688674053e-17
8.500000000000000611e-02 -2.449322180000000019e-04 8.326672684688674053e-17
8.999999999999999667e-02 -9.069255719999999858e-05 8.326672684688674053e-17
9.500000000000000111e-02 -1.244247121999999975e-04 8.326672684688674053e-17
1.000000000000000056e-01 2.176357008999999822e-03 8.326672684688674053e-17
1.049999999999999961e-01 3.264947412100000206e-03 8.326672684688674053e-17
1.100000000000000006e-01 -1.118821516252000011e-03 8.326672684688674053e-17
1.150000000000000050e-01 -8.204966277000000363e-04 8.326672684688674053e-17
1.199999999999999956e-01 -6.105662869999999324e-04 8.326672684688674053e-17
1.250000000000000000e-01 -3.674048159999999865e-04 8.326672684688674053e-17
1.300000000000000044e-01 -1.247804639999999972e-04 8.326672684688674053e-17
1.350000000000000089e-01 1.013063797999999983e-04 8.326672684688674053e-17
1.400000000000000133e-01 3.147766971000000216e-04 8.326672684688674053e-17
1.449999999999999900e-01 5.193688950999999577e-04 8.326672684688674053e-17
1.499999999999999944e-01 6.980835628999999994e-04 8.326672684688674053e-17
1.549999999999999989e-01 7.448650160000000898e-04 8.326672684688674053e-17
1.600000000000000033e-01 7.797104279999999979e-04 8.326672684688674053e-17
1.650000000000000078e-01 7.689756349999999317e-04 8.326672684688674053e-17
1.700000000000000122e-01 6.881590340000000089e-04 8.326672684688674053e-17
1.749999999999999889e-01 5.254659429999999432e-04 8.326672684688674053e-17
1.799999999999999933e-01 3.156873019999999739e-04 8.326672684688674053e-17
1.849999999999999978e-01 8.576658800000000026e-05 8.326672684688674053e-17
1.900000000000000022e-01 -1.375500929999999903e-04 8.326672684688674053e-17
1.950000000000000067e-01 -3.348519317000000248e-04 8.326672684688674053e-17
2.000000000000000111e-01 -4.664210337299999794e-04 8.326672684688674053e-17
2.049999999999999878e-01 -5.312349402999999755e-04 8.326672684688674053e-17
2.099999999999999922e-01 -5.770373459999999979e-04 8.326672684688674053e-17
2.149999999999999967e-01 -6.035159140000000318e-04 8.326672684688674053e-17
2.200000000000000011e-01 -5.956886000000000212e-04 8.326672684688674053e-17
2.250000000000000056e-01 -5.349384749999999385e-04 8.326672684688674053e-17
2.300000000000000100e-01 -4.264048510000000339e-04 8.326672684688674053e-17
2.349999999999999867e-01 -2.775419520000000089e-04 8.326672684688674053e-17
2.399999999999999911e-01 -1.407784209999999843e-04 8.326672684688674053e-17
2.449999999999999956e-01 -4.527374010000000094e-05 8.326672684688674053e-17
2.500000000000000000e-01 1.127968720000000077e-05 8.326672684688674053e-17
2.550000000000000044e-01 9.407315399999999998e-05 8.326672684688674053e-17
2.600000000000000089e-01 1.452704190000000028e-04 8.326672684688674053e-17
2.650000000000000133e-01 2.143001549999999818e-04 8.326672684688674053e-17
2.700000000000000178e-01 2.537579890000000223e-04 8.326672684688674053e-17
2.750000000000000222e-01 3.025551220000000335e-04 8.326672684688674053e-17
2.800000000000000266e-01 3.303193209999999978e-04 8.326672684688674053e-17
2.849999999999999756e-01 3.695272880000000158e-04 8.326672684688674053e-17
2.899999999999999800e-01 3.939920329999999950e-04 8.326672684688674053e-17
