time Fx qx
0.000000000000000000e+00 -8.881783999999999608e-16 8.326672684688674053e-17
5.000000000000000104e-03 -1.815565100000000233e-05 8.326672684688674053e-17
1.000000000000000021e-02 -2.782949999999999757e-06 8.326672684688674053e-17
1.499999999999999944e-02 -2.862717000000000394e-06 8.326672684688674053e-17
2.000000000000000042e-02 -3.711077924000000228e-05 8.326672684688674053e-17
2.500000000000000139e-02 -2.294251400000000095e-05 8.326672684688674053e-17
2.999999999999999889e-02 -1.997064700000000009e-05 8.326672684688674053e-17
3.500000000000000333e-02 1.781678000000000054e-05 8.326672684688674053e-17
4.000000000000000083e-02 8.665741719999999100e-05 8.326672684688674053e-17
4.499999999999999833e-02 1.809868631100000071e-04 8.326672684688674053e-17
5.000000000000000278e-02 -6.348942097999999605e-04 8.326672684688674053e-17
5.500000000000000028e-02 2.009717439999999925e-04 8.326672684688674053e-17
5.999999999999999778e-02 -1.536544008199999963e-04 8.326672684688674053e-17
6.500000000000000222e-02 4.982760784000000043e-04 8.326672684688674053e-17
7.000000000000000666e-02 6.134407300000000731e-05 8.326672684688674053e-17
7.499999999999999722e-02 -7.759937800000000769e-06 8.326672684688674053e-17
8.000000000000000167e-02 4.336510000000000600e-06 8.326672684688674053e-17
8.500000000000000611e-02 -1.055128119999999966e-05 8.326672684688674053e-17
8.999999999999999667e-02 1.285264200000000114e-05 8.326672684688674053e-17
9.500000000000000111e-02 1.146994309709999972e-04 8.326672684688674053e-17
1.000000000000000056e-01 5.141773865000000347e-05 8.326672684688674053e-17
1.049999999999999961e-01 -4.858198509999999386e-05 8.326672684688674053e-17
1.100000000000000006e-01 5.815938599999999922e-05 8.326672684688674053e-17
1.150000000000000050e-01 4.143397160000000036e-05 8.326672684688674053e-17
1.199999999999999956e-01 1.682500740000000128e-05 8.326672684688674053e-17
1.250000000000000000e-01 3.393140279000000296e-04 8.326672684688674053e-17
1.300000000000000044e-01 -4.005438189999999972e-05 8.326672684688674053e-17
1.350000000000000089e-01 -5.245490750000000207e-05 8.326672684688674053e-17
1.400000000000000133e-01 -9.062569019999999786e-05 8.326672684688674053e-17
1.449999999999999900e-01 -7.862227369999999504e-05 8.326672684688674053e-17
1.499999999999999944e-01 -6.830475300000000180e-05 8.326672684688674053e-17
1.549999999999999989e-01 -5.543982199999999749e-05 8.326672684688674053e-17
1.600000000000000033e-01 -3.326029200000000217e-05 8.326672684688674053e-17
1.650000000000000078e-01 -1.955692199999999924e-05 8.326672684688674053e-17
1.700000000000000122e-01 3.454000000000000303e-06 8.326672684688674053e-17
1.749999999999999889e-01 2.813577000000000048e-05 8.326672684688674053e-17
1.799999999999999933e-01 5.723058399999999673e-05 8.326672684688674053e-17
1.849999999999999978e-01 6.868571599999999573e-05 8.326672684688674053e-17
1.900000000000000022e-01 7.741584599999999747e-05 8.326672684688674053e-17
1.950000000000000067e-01 7.882360099999999802e-05 8.326672684688674053e-17
